Aberdare, Glamorgan, Wales, United Kingdom
Mountain Dell, Salt Lake, Utah, United States
Mountain Home, Duchesne, Utah, United States
Mountain View, Cardston County, Alberta, Canada
Murray, Salt Lake, Utah, United States
Murtaugh, Twin Falls, Idaho, United States
Myton, Duchesne, Utah, United States
Naf, Cassia, Idaho, United States
Nampa, Canyon, Idaho, United States
Nantyglo, Monmouthshire, Wales, United Kingdom
Naples, Uintah, Utah, United States
Nauvoo, Hancock, Illinois, United States
Neeley, Power, Idaho, United States
Neola, Duchesne, Utah, United States
Nephi, Juab, Utah, United States
Nephi, Maricopa, Arizona, United States
Nevada City, Nevada, California, United States
New Harmony, Washington, Utah, United States
New York City, New York, United States
Newark, Essex, New Jersey, United States
Newcastle, Iron, Utah, United States
Newdale, Fremont, Idaho, United States
Newton, Cache, Utah, United States
Nibley, Cache, Utah, United States
Nibley, Union, Oregon, United States
Niter, Caribou, Idaho, United States
Norfolk, Virginia, United States
North Logan, Cache, Utah, United States
North Ogden, Weber, Utah, United States
North Point, Salt Lake, Utah, United States
Notom, Wayne, Utah, United States
Nottingham, Nottinghamshire, England, United Kingdom
Nounan, Bear Lake, Idaho, United States
Nutrioso, Apache, Arizona, United States
Nyssa, Malheur, Oregon, United States
Oak City, Millard, Utah, United States
Oakland, Alameda, California, United States
Oakley, Cassia, Idaho, United States
Oakley, Summit, Utah, United States
Oasis, Millard, Utah, United States
Ogden, Weber, Utah, United States
Ola, Gem, Idaho, United States
Old Fort Harmony, Washington, Utah, United States
Olympia, Thurston, Washington, United States
Omaha, Douglas, Nebraska, United States
Ontario, Malheur, Oregon, United States
Oquirrh, Salt Lake, Utah, United States
Ora, Fremont, Idaho, United States
Orangeville, Emery, Utah, United States
Orderville, Kane, Utah, United States
Orem, Utah, Utah, United States
Orimo, Bannock, Idaho, United States
Orland, Glenn, California, United States
Oroville, Butte, California, United States
Orton, MD of Willow Creek No. 26, Alberta, Canada
Osgood, Bonneville, Idaho, United States
Oslo, Norway
Osmond Community, Lincoln, Wyoming, United States
Otis, Bingham, Idaho, United States
Otto, Big Horn, Wyoming, United States
Ouray, Uintah, Utah, United States
Overton, Clark, Nevada, United States
Ovid, Bear Lake, Idaho, United States
Oxford, Franklin, Idaho, United States
Ozone, Bonneville, Idaho, United States
Paisley, Renfrewshire, Scotland, United Kingdom
Palisades, Bonneville, Idaho, United States
Palmyra, Utah, Utah, United States
Palmyra, Wayne, New York, United States
Palo Alto, Santa Clara, California, United States
Panaca, Lincoln, Nevada, United States
Panguitch, Garfield, Utah, United States
Paradise, Cache, Utah, United States
Paragonah, Iron, Utah, United States
Paria, Kane, Utah, United States
Paris, Bear Lake, Idaho, United States
Park City, Summit, Utah, United States
Park Valley, Box Elder, Utah, United States
Parker, Fremont, Idaho, United States
Parleys Park, Summit, Utah, United States
Parowan, Iron, Utah, United States
Pasadena, Los Angeles, California, United States
Paul, Minidoka, Idaho, United States
Pauline, Power, Idaho, United States
Pawtucket, Providence, Rhode Island, United States
Payson, Utah, Utah, United States
Pea Ridge, Washington, Missouri, United States
Pebble, Bannock, Idaho, United States
Pella, Cassia, Idaho, United States
Penrose, Big Horn, Wyoming, United States
Penrose, Box Elder, Utah, United States
Peoa, Summit, Utah, United States
Perry, Box Elder, Utah, United States
Perry, Franklin, Idaho, United States
Perry, Fremont, Idaho, United States
Petersboro, Cache, Utah, United States
Peterson, Morgan, Utah, United States
Pettyville, Sanpete, Utah, United States
Philadelphia, Pennsylvania, United States
Phoenix, Maricopa, Arizona, United States
Picabo, Blaine, Idaho, United States
Picture Butte, Alberta, Canada
Piedmont, Uinta, Wyoming, United States
Pima, Graham, Arizona, United States
Pine Coulee, MD of Willow Creek No. 26, Alberta, Canada
Pine Creek, Beaver, Utah, United States
Pine Valley, Washington, Utah, United States
Pine, Gila, Arizona, United States
Pine, Maricopa, Arizona, United States
Pinedale, Navajo, Arizona, United States
Pinetop-Lakeside, Navajo, Arizona, United States
Pinto, Washington, Utah, United States
Pioche, Lincoln, Nevada, United States
Plain City, Weber, Utah, United States
Plano, Fremont, Idaho, United States
Platoro, Conejos, Colorado, United States
Pleasant Grove, Utah, Utah, United States
Pleasant View, Weber, Utah, United States
Pleasantview, Oneida, Idaho, United States
Plymouth, Box Elder, Utah, United States
Pocatello, Bannock, Idaho, United States
Poe, Logan, Kansas, United States
Point Lookout, Box Elder, Utah, United States
Pokeahon, Cass, Michigan, United States
Pomerene, Cochise, Arizona, United States
Pompano, Broward, Florida, United States
Poplar, Bonneville, Idaho, United States
Portage, Box Elder, Utah, United States
Porterville, Morgan, Utah, United States
Portland, Multnomah, Oregon, United States
Portneuf, Bannock, Idaho, United States
Prescott, Yavapai, Arizona, United States
Presto, Bingham, Idaho, United States
Preston, Oneida, Idaho, United States
Preston, White Pine, Nevada, United States
Price, Emery, Utah, United States
Prospect, Bonneville, Idaho, United States
Providence, Cache, Utah, United States
Provo, Utah, Utah, United States
Purple Springs, MD of Taber, Alberta, Canada
Queen Anne, King, Washington, United States
Quincy, Adams, Illinois, United States
Rabbit Valley, Wayne, Utah, United States
Racine, Racine, Wisconsin, United States
Raft River, Cassia, Idaho, United States
Ramah, McKinley, New Mexico, United States
Ranch, Kane, Utah, United States
Ranch, Rocky View County, Alberta, Canada
Randlett, Uintah, Utah, United States
Randolph, Rich, Utah, United States
Rapid City, Pennington, South Dakota, United States
Rathdrum, Kootenai, Idaho, United States
Rathenow, Havelland, Brandenburg, Germany
Rawlins, Rawlins, Kansas, United States
Ray, Pinal, Arizona, United States
Raymond, Bear Lake, Idaho, United States
Raymond, County of Warner No. 5, Alberta, Canada
Read, Millard, Utah, United States
Red Mesa, La Plata, Colorado, United States
Redland, Graham, Arizona, United States
Redmond, Sevier, Utah, United States
Reliance, Sweetwater, Wyoming, United States
Remington, Bear Lake, Idaho, United States
Reno, Washoe, Nevada, United States
Renton, King, Washington, United States
Rexburg, Madison, Idaho, United States
Rhymney, Monmouthshire, Wales, United Kingdom
Rich, Bingham, Idaho, United States
Richfield, Apache, Arizona, United States
Richfield, Conejos, Colorado, United States
Richfield, Lincoln, Idaho, United States
Richfield, Sevier, Utah, United States
Richmond, Cache, Utah, United States
Richville, Morgan, Utah, United States
Ridgedale, Oneida, Idaho, United States
Ridgewood, Bergen, New Jersey, United States
Rigby, Jefferson, Idaho, United States
Ririe, Jefferson, Idaho, United States
Riter, Salt Lake, Utah, United States
River Heights, Cache, Utah, United States
Riverdale, Franklin, Idaho, United States
Riverdale, Weber, Utah, United States
Riverside, Bingham, Idaho, United States
Riverside, Box Elder, Utah, United States
Riverside, San Bernardino, California, United States
Riverton, Salt Lake, Utah, United States
Roberts, Jefferson, Idaho, United States
Robertson, Uinta, Wyoming, United States
Robin, Bannock, Idaho, United States
Rochester, Olmsted, Minnesota, United States
Rock Springs, Sweetwater, Wyoming, United States
Rockland, Power, Idaho, United States
Rockport, Summit, Utah, United States
Rockville, Washington, Utah, United States
Romeo, Conejos, Colorado, United States
Roosevelt, Duchesne, Utah, United States
Rose, Bingham, Idaho, United States
Rosemead, Los Angeles, California, United States
Rosette, Box Elder, Utah, United States
Roseville, Placer, California, United States
Rotterdam, South Holland, Netherlands
Round Valley, Rich, Utah, United States
Roy, Weber, Utah, United States
Royalton, Niagara, New York, United States
Rudy, Fremont, Idaho, United States
Rupert, Minidoka, Idaho, United States
Rush Lake, Iron, Utah, United States
Rush Valley, Tooele, Utah, United States
Saarbrücken, Saarland, Germany
Sacramento, Sacramento, California, United States
Safford, Graham, Arizona, United States
Saint Brides, Pembrokeshire, Wales, United Kingdom
Saint Charles, Bear Lake, Idaho, United States
Saint David, Cochise, Arizona, United States
Saint John, Tooele, Utah, United States
Saint Johns, Apache, Arizona, United States
Saint Johns, Oneida, Idaho, United States
Saint Paul, Ramsey, Minnesota, United States
Saint Thomas, Clark, Nevada, United States
Salem, Madison, Idaho, United States
Salem, Utah, Utah, United States
Salina, Sevier, Utah, United States
Salinas, Monterey, California, United States
Salmon, Lemhi, Idaho, United States
Salt Lake City, Salt Lake, Utah, United States
Samaria, Oneida, Idaho, United States
Samedan, Graubünden, Switzerland
San Bernardino, San Bernardino, California, United States
San Diego, San Diego, California, United States
San Francisco, San Francisco, California, United States
San Jacinto, Elko, Nevada, United States
San Jose, Santa Clara, California, United States
San Pedro, Pima, Arizona, United States
Sandy, Salt Lake, Utah, United States
Sanford, Conejos, Colorado, United States
Santa Ana, Orange, California, United States
Santa Barbara, Santa Barbara, California, United States
Santa Clara, Washington, Utah, United States
Santa Monica, Los Angeles, California, United States
Santaquin, Utah, Utah, United States
Savannah, Chatham, Georgia, United States
Scipio, Millard, Utah, United States
Scofield, Carbon, Utah, United States
Seattle, King, Washington, United States
Seorin, Bingham, Idaho, United States
Sevier, Sevier, Utah, United States
Sharon, Bear Lake, Idaho, United States
Shelby, Bingham, Idaho, United States
Shell, Big Horn, Wyoming, United States
Shelley, Bingham, Idaho, United States
Shelton, Jefferson, Idaho, United States
Shonesburg, Washington, Utah, United States
Shoshone, White Pine, Nevada, United States
Show Low, Navajo, Arizona, United States
Shumway, Navajo, Arizona, United States
Sigurd, Sevier, Utah, United States
Silver City, Juab, Utah, United States
Skull Valley, Yavapai, Arizona, United States
Slesvig, Føllenslev, Holbæk, Denmark
Smithfield, Cache, Utah, United States
Smoot, Lincoln, Wyoming, United States
Smyths, Beaver, Utah, United States
Snake River, Menan, Idaho, United States
Snowflake, Navajo, Arizona, United States
Snowville, Box Elder, Utah, United States
Socorro, Socorro, New Mexico, United States
Soda Springs, Caribou, Idaho, United States
Soldier, Camas, Idaho, United States
Solomon, Graham, Arizona, United States
Somerset, Gunnison, Colorado, United States
South Davis, Weber, Utah, United States
South Gate, Los Angeles, California, United States
South Jordan, Salt Lake, Utah, United States
South Salt Lake, Salt Lake, Utah, United States
South Shields, Durham, England, United Kingdom
South Weber, Davis, Utah, United States
Southampton, Hampshire, England, United Kingdom
Sovetsk, Kaliningrad, Russia
Spanish Fork, Utah, Utah, United States
Sparks, Washoe, Nevada, United States
Spokane, Spokane, Washington, United States
Spring Canyon, Carbon, Utah, United States
Spring City, Sanpete, Utah, United States
Spring Coulee, Cardston County, Alberta, Canada
Spring Glen, Carbon, Utah, United States
Spring Lake, Utah, Utah, United States
Springdale, Cassia, Idaho, United States
Springdale, Washington, Utah, United States
Springerville, Apache, Arizona, United States
Springfield, Bingham, Idaho, United States
Springville, Apache, Arizona, United States
Springville, Utah, Utah, United States
St George, Washington, Utah, United States
St. Anthony, Fremont, Idaho, United States
St. Charles, Bear Lake, Idaho, United States
St. Helens, Columbia, Oregon, United States
Star Valley, Lincoln, Wyoming, United States
Stateline, Iron, Utah, United States
Stavely, MD of Willow Creek No. 26, Alberta, Canada
Sterling, Bingham, Idaho, United States
Sterling, Sanpete, Utah, United States
Stirling, County of Warner No. 5, Alberta, Canada
Stockholm, Stockholm, Sweden
Stockton, San Joaquin, California, United States
Stoddardville, Morgan, Utah, United States
Stone, Oneida, Idaho, United States
Sublett, Cassia, Idaho, United States
Sugar City, Madison, Idaho, United States
Sullivan, Franklin, Missouri, United States
Sumaria, Oneida, Idaho, United States
Summit, Iron, Utah, United States
Summit, Oneida, Idaho, United States
Sunnydell, Madison, Idaho, United States
Sunnyside, Carbon, Utah, United States
Sunset, Davis, Utah, United States
Sunset, Graham, Arizona, United States
Susanville, Lassen, California, United States
Sutherland, Millard, Utah, United States
Sutter, Sutter, California, United States
Sutton in Ashfield, Nottinghamshire, England, United Kingdom
Swan Lake, Bannock, Idaho, United States
Swansea, Swansea, Wales, United Kingdom
Syracuse, Davis, Utah, United States
Taber, MD of Taber, Alberta, Canada
Tabiona, Duchesne, Utah, United States
Tacoma, Pierce, Washington, United States
Talmage, Duchesne, Utah, United States
Tampa, Hillsborough, Florida, United States
Taylor, Bonneville, Idaho, United States
Taylor, Navajo, Arizona, United States
Taylor, Weber, Utah, United States
Taylorsville, Salt Lake, Utah, United States
Taylorville, Cardston County, Alberta, Canada
Teasdale, Wayne, Utah, United States
Tempe, Maricopa, Arizona, United States
Terreton, Jefferson, Idaho, United States
Teton, Fremont, Idaho, United States
Tetonia, Teton, Idaho, United States
Thatcher, Box Elder, Utah, United States
Thatcher, Franklin, Idaho, United States
Thatcher, Graham, Arizona, United States
Thayne, Lincoln, Wyoming, United States
Thermopolis, Hot Springs, Wyoming, United States
Thistle, Utah, Utah, United States
Thomas, Bingham, Idaho, United States
Thornton, Madison, Idaho, United States
Tilden, Bingham, Idaho, United States
Tooele, Tooele, Utah, United States
Topaz, Bannock, Idaho, United States
Toppenish, Yakima, Washington, United States
Toquerville, Washington, Utah, United States
Toronto, Ontario, Canada
Torrey, Wayne, Utah, United States
Treasureton, Franklin, Idaho, United States
Tremonton, Box Elder, Utah, United States
Trenton, Cache, Utah, United States
Tridell, Uintah, Utah, United States
Tropic, Garfield, Utah, United States
Trout Creek, Tooele, Utah, United States
Trowbridge, Wiltshire, England, United Kingdom
Tuba City, Coconino, Arizona, United States
Tucson, Pima, Arizona, United States
Turner, Caribou, Idaho, United States
Turnpike, Bear Lake, Idaho, United States
Tuttle, Gooding, Idaho, United States
Twin Butte, MD of Pincher Creek No. 9, Alberta, Canada
Twin Falls, Twin Falls, Idaho, United States
Twin Groves, Fremont, Idaho, United States
Tywyn, Merionethshire, Wales, United Kingdom
Ucon, Bonneville, Idaho, United States
Uintah, Weber, Utah, United States
Union, Jefferson, Idaho, United States
Union, Salt Lake, Utah, United States
Union, Union, Oregon, United States
Unity, Cassia, Idaho, United States
Upalco, Duchesne, Utah, United States
Upton, Summit, Utah, United States
Valdosta, Lownes, Georgia, United States
Vancouver, British Columbia, Canada
Vaughn, Cascade, Montana, United States
Venice, Sevier, Utah, United States
Verdure, San Juan, Utah, United States
Vermillion, Sevier, Utah, United States
Vernal, Uintah, Utah, United States
Vernon, Apache, Arizona, United States
Vernon, Fremont, Idaho, United States
Vernon, Tooele, Utah, United States
Veyo, Washington, Utah, United States
Victor, Teton, Idaho, United States
View, Cassia, Idaho, United States
Vineyard, Utah, Utah, United States
Virden, Hidalgo, New Mexico, United States
Virgin, Washington, Utah, United States
Virginia, Bannock, Idaho, United States
Visalia, Tulare, California, United States
Vrejlev, Hjørring, Nordjylland, Denmark
Wabuska, Lyon, Nevada, United States
Wahsatch, Summit, Utah, United States
Wailuku, Maui, Hawaii, United States
Wales, Sanpete, Utah, United States
Wallace, Wallace, Kansas, United States
Wallsburg, Wasatch, Utah, United States
Walnut Park, Los Angeles, California, United States
Wanship, Summit, Utah, United States
Wapello, Bingham, Idaho, United States
Wardboro, Bear Lake, Idaho, United States
Warren, Weber, Utah, United States
Washakie, Box Elder, Utah, United States
Washington, District Of Columbia, United States
Washington, Washington, Utah, United States
Waterflow, San Juan, New Mexico, United States
Waterloo Township, Cavalier, North Dakota, United States
Wayan, Caribou, Idaho, United States
Waynesville, Wayne Township, Warren, Ohio, United States
Webb, Maricopa, Arizona, United States
Weiser, Washington, Idaho, United States
Welling, Cardston County, Alberta, Canada
Wellington, Carbon, Utah, United States
Wells Township, Wells, North Dakota, United States
Wells, Elko, Nevada, United States
Wellsburg, Wasatch, Utah, United States
Wellsville, Cache, Utah, United States
Wellton, Yuma, Arizona, United States
Wendell, Gooding, Idaho, United States
West Jordan, Salt Lake, Utah, United States
West Point, Davis, Utah, United States
West Portage, Box Elder, Utah, United States
West Porterville, Morgan, Utah, United States
West Valley City, Salt Lake, Utah, United States
West Walton, Norfolk, England, United Kingdom
West Weber, Weber, Utah, United States
Weston, Franklin, Idaho, United States
Whitewater, Grant, New Mexico, United States
Whitman, Logan, West Virginia, United States
Whitney, Franklin, Idaho, United States
Whittier, Winnipeg, Manitoba, Canada
Widtsoe, Garfield, Utah, United States
Wilford, Apache, Arizona, United States
Wilford, Fremont, Idaho, United States
Willard, Box Elder, Utah, United States
Williams, Bannock, Idaho, United States
Willmont, Piute, Utah, United States
Wilson, Teton, Wyoming, United States
Wilson, Weber, Utah, United States
Winder, Franklin, Idaho, United States
Windsor, Essex, Ontario, Canada
Winnemucca, Humboldt, Nevada, United States
Winnipeg, Manitoba, Canada
Winslow, Navajo, Arizona, United States
Winter Quarters, Carbon, Utah, United States
Woodland, Summit, Utah, United States
Woodruff, Navajo, Arizona, United States
Woodruff, Oneida, Idaho, United States
Woodruff, Rich, Utah, United States
Woods Cross, Davis, Utah, United States
Woodville, Bingham, Idaho, United States
Woolford, Alberta, Canada
Worland, Washakie, Wyoming, United States
Worley, Kootenai, Idaho, United States
Wrentham, County of Warner No. 5, Alberta, Canada
Yakima, Yakima, Washington, United States
Yost, Box Elder, Utah, United States
Young, Gila, Arizona, United States
Yreka, Siskiyou, California, United States
Yuba City, Sutter, California, United States
Zapato, Costilla, Colorado, United States
Zurich, Blaine, Montana, United States
Zurich, Zurich, Switzerland
