City,Coordinates
"Fort Duchesne, Uintah, Utah, United States","40.2852395, -109.873635"
"Orem, Utah, Utah, United States","40.2981599, -111.6944313"
"Vineyard, Utah, Utah, United States","40.2983097, -111.747841"
"Roosevelt, Duchesne, Utah, United States","40.299403, -109.9887605"
"Mercur, Tooele, Utah, United States","40.3208137, -112.2122889"
"Cedar Fort, Utah, Utah, United States","40.3272249, -112.106845"
"Clover, Tooele, Utah, United States","40.3368885, -112.4613423"
"Talmage, Duchesne, Utah, United States","40.3399529, -110.42738"
"Lindon, Utah, Utah, United States","40.3432857, -111.72076"
"Mount Emmons, Duchesne, Utah, United States","40.3477319, -110.2751567"
"Tabiona, Duchesne, Utah, United States","40.3546719, -110.713493"
"Saint John, Tooele, Utah, United States","40.3552219, -112.4530085"
"Bluebell, Duchesne, Utah, United States","40.3593988, -110.2173783"
"Boneta, Duchesne, Utah, United States","40.3596753, -110.3415464"
"Rush Valley, Tooele, Utah, United States","40.3629996, -112.450508"
"Pleasant Grove, Utah, Utah, United States","40.3640349, -111.7386884"
"Jensen, Uintah, Utah, United States","40.3696849, -109.3348516"
"Bennett, Uintah, Utah, United States","40.3738465, -109.9354269"
"American Fork, Utah, Utah, United States","40.3768064, -111.7959146"
"Wallsburg, Wasatch, Utah, United States","40.3877339, -111.422405"
"Lehi, Utah, Utah, United States","40.3881114, -111.8486019"
"Mountain Home, Duchesne, Utah, United States","40.3988489, -110.3885736"
"Altonah, Duchesne, Utah, United States","40.4013411, -110.2937692"
"Lapoint, Uintah, Utah, United States","40.4038474, -109.7934788"
"Susanville, Lassen, California, United States","40.4162842, -120.653006"
"Naples, Uintah, Utah, United States","40.4269052, -109.499302"
"Highland, Utah, Utah, United States","40.427176, -111.7891709"
"Hayden, Uintah, Utah, United States","40.4327338, -109.9732069"
"Hanna, Duchesne, Utah, United States","40.4397792, -110.8144296"
"Neola, Duchesne, Utah, United States","40.44002, -110.0348918"
"Alpine, Utah, Utah, United States","40.453253, -111.7779596"
"Tridell, Uintah, Utah, United States","40.4535682, -109.84987"
"Glines, Uintah, Utah, United States","40.4546489, -109.5676682"
"Vernal, Uintah, Utah, United States","40.4556825, -109.528474"
"Charleston, Wasatch, Utah, United States","40.4663446, -111.469909"
"Daniel, Wasatch, Utah, United States","40.4708857, -111.4145687"
"Maeser, Uintah, Utah, United States","40.4735665, -109.579325"
"Center Creek, Wasatch, Utah, United States","40.4780103, -111.3571234"
"Bluffdale, Salt Lake, Utah, United States","40.4898176, -111.939284"
"Jordan, Salt Lake, Utah, United States","40.4990714, -111.9545261"
"East Jordan, Salt Lake, Utah, United States","40.50285, -111.8745143"
"Heber, Wasatch, Utah, United States","40.506463, -111.4132963"
"Midway, Wasatch, Utah, United States","40.5125438, -111.4748846"
"Herriman, Salt Lake, Utah, United States","40.5139784, -112.0329086"
"Riverton, Salt Lake, Utah, United States","40.5179761, -111.9393701"
"Draper, Salt Lake, Utah, United States","40.5247777, -111.8627989"
"Eaton, Weld, Colorado, United States","40.5260483, -104.7113073"
"Tooele, Tooele, Utah, United States","40.5307776, -112.29828"
"Bingham Canyon, Salt Lake, Utah, United States","40.5311558, -112.1297499"
"Iosepa, Tooele, Utah, United States","40.5420384, -112.7338474"
"Nauvoo, Hancock, Illinois, United States","40.550042, -91.3848749"
"Crescent, Salt Lake, Utah, United States","40.5513489, -111.8910934"
"Bench Creek, Wasatch, Utah, United States","40.5539039, -111.1871829"
"South Jordan, Salt Lake, Utah, United States","40.5584882, -111.9367107"
"Lincoln, Tooele, Utah, United States","40.5649445, -112.256612"
"Granite, Salt Lake, Utah, United States","40.5701964, -111.7825874"
"Sandy, Salt Lake, Utah, United States","40.5710454, -111.8953815"
"Woodland, Summit, Utah, United States","40.580989, -111.2332348"
"Grantsville, Tooele, Utah, United States","40.6000817, -112.463531"
"Brighton, Salt Lake, Utah, United States","40.6018223, -111.583314"
"Francis, Summit, Utah, United States","40.6102645, -111.280483"
"Erda, Tooele, Utah, United States","40.6127217, -112.304392"
"Midvale, Salt Lake, Utah, United States","40.6149174, -111.9106607"
"Union, Salt Lake, Utah, United States","40.6205034, -111.8721568"
"Lovendahl, Salt Lake, Utah, United States","40.6273491, -111.904777"
"Oquirrh, Salt Lake, Utah, United States","40.6280878, -112.039334"
"Kamas, Summit, Utah, United States","40.6429578, -111.280518"
"Park City, Summit, Utah, United States","40.6460921, -111.4979963"
"Bennion, Salt Lake, Utah, United States","40.6481976, -111.9681586"
"Brooklyn, Kings, New York, United States","40.6526006, -73.9497211"
"Murray, Salt Lake, Utah, United States","40.6667841, -111.888417"
"Taylorsville, Salt Lake, Utah, United States","40.6676347, -111.9388027"
"Holladay, Salt Lake, Utah, United States","40.6710765, -111.8250278"
"Marion, Summit, Utah, United States","40.6774508, -111.2810185"
"Lake Point, Tooele, Utah, United States","40.6807774, -112.263002"
"Lark, Salt Lake, Utah, United States","40.6812433, -112.0095785"
"Granger, Salt Lake, Utah, United States","40.6939409, -111.9792507"
"West Valley City, Salt Lake, Utah, United States","40.6967891, -111.9866954"
"Hunter, Salt Lake, Utah, United States","40.6968906, -112.021328"
"Millcreek, Salt Lake, Utah, United States","40.6992918, -111.855583"
"Magna, Salt Lake, Utah, United States","40.7031629, -112.081648"
"South Salt Lake, Salt Lake, Utah, United States","40.7074741, -111.88827"
"New York City, New York, United States","40.7127281, -74.0060152"
"Chesterfield, Salt Lake, Utah, United States","40.7131244, -111.9320356"
"Oakley, Summit, Utah, United States","40.7146758, -111.300734"
"Peoa, Summit, Utah, United States","40.7246718, -111.3418577"
"Garfield, Salt Lake, Utah, United States","40.7265975, -112.165242"
"Newark, Essex, New Jersey, United States","40.735657, -74.1723667"
"Emerson, Salt Lake, Utah, United States","40.737586, -111.8753629"
"Parleys Park, Summit, Utah, United States","40.7513929, -111.6080315"
"Riter, Salt Lake, Utah, United States","40.7516971, -112.0757877"
"Salt Lake City, Salt Lake, Utah, United States","40.7596198, -111.886797"
"Rockport, Summit, Utah, United States","40.7722057, -111.3986183"
"Manhattan, New York City, New York, United States","40.7896239, -73.9598939"
"Wanship, Summit, Utah, United States","40.8117564, -111.4073411"
"Elko, Elko, Nevada, United States","40.83269, -115.7630942"
"Woods Cross, Davis, Utah, United States","40.8716501, -111.892159"
"Hoytsville, Summit, Utah, United States","40.8740772, -111.380774"
"Bountiful, Davis, Utah, United States","40.8894611, -111.8804817"
"Coalville, Summit, Utah, United States","40.9177251, -111.3993634"
"Centerville, Davis, Utah, United States","40.9180005, -111.8721601"
"Upton, Summit, Utah, United States","40.9635588, -111.2354673"
"Winnemucca, Humboldt, Nevada, United States","40.9724295, -117.734802"
"Echo, Summit, Utah, United States","40.9777325, -111.4424342"
"Ridgewood, Bergen, New Jersey, United States","40.9796683, -74.1194403"
"Farmington, Davis, Utah, United States","40.9804423, -111.8874688"
"Porterville, Morgan, Utah, United States","40.9811821, -111.6784315"
"Manila, Daggett, Utah, United States","40.9880142, -109.722649"
"Richville, Morgan, Utah, United States","41.0088342, -111.6902106"
"Henefer, Summit, Utah, United States","41.0166127, -111.498257"
"Kaysville, Davis, Utah, United States","41.0349847, -111.9383931"
"Morgan, Morgan, Utah, United States","41.0360566, -111.6774417"
"Littleton, Morgan, Utah, United States","41.0394648, -111.7188163"
"Milton, Morgan, Utah, United States","41.0599443, -111.7310462"
"Croydon, Morgan, Utah, United States","41.0685562, -111.5138141"
"Layton, Davis, Utah, United States","41.0751048, -111.9741925"
"Akron, Summit, Ohio, United States","41.083064, -81.518485"
"Syracuse, Davis, Utah, United States","41.0895938, -112.0638903"
"Enterprise, Morgan, Utah, United States","41.0996658, -111.7363245"
"Wells, Elko, Nevada, United States","41.1107264, -114.963144"
"Clearfield, Davis, Utah, United States","41.1135837, -112.0244841"
"Peterson, Morgan, Utah, United States","41.1143263, -111.7689388"
"West Point, Davis, Utah, United States","41.1184964, -112.087185"
"South Weber, Davis, Utah, United States","41.1344398, -111.943354"
"Sunset, Davis, Utah, United States","41.1363376, -112.031066"
"Hilliard, Uinta, Wyoming, United States","41.1377252, -110.8118414"
"Uintah, Weber, Utah, United States","41.1441153, -111.923286"
"Clinton, Davis, Utah, United States","41.1471616, -112.0548389"
"Hooper, Weber, Utah, United States","41.1643301, -112.123448"
"Bench, Uinta, Wyoming, United States","41.1663384, -110.3109887"
"Burch Creek, Weber, Utah, United States","41.1691321, -111.9310323"
"Roy, Weber, Utah, United States","41.1715361, -112.0273739"
"Riverdale, Weber, Utah, United States","41.1785325, -111.992818"
"Robertson, Uinta, Wyoming, United States","41.1837645, -110.4294027"
"Kanesville, Weber, Utah, United States","41.1905291, -112.0835463"
"Wahsatch, Summit, Utah, United States","41.2019629, -111.1081054"
"Piedmont, Uinta, Wyoming, United States","41.2160592, -110.6273902"
"Wilson, Weber, Utah, United States","41.2197795, -112.0259319"
"Ogden, Weber, Utah, United States","41.2230048, -111.9738429"
"Metropolis, Elko, Nevada, United States","41.22498, -115.0639409"
"Taylor, Weber, Utah, United States","41.2273131, -112.0833385"
"West Weber, Weber, Utah, United States","41.2488381, -112.0782874"
"Millburne, Uinta, Wyoming, United States","41.2582829, -110.4126592"
"Omaha, Douglas, Nebraska, United States","41.2587459, -95.9383758"
"Huntsville, Weber, Utah, United States","41.2608613, -111.7699286"
"Marriott-Slaterville, Weber, Utah, United States","41.2679264, -112.018179"
"Evanston, Uinta, Wyoming, United States","41.2682462, -110.963758"
"Harrisville, Weber, Utah, United States","41.2811997, -111.985184"
"Warren, Weber, Utah, United States","41.284206, -112.121673"
"Farr West, Weber, Utah, United States","41.2911942, -112.023827"
"Plain City, Weber, Utah, United States","41.2979093, -112.0845741"
"Eden, Weber, Utah, United States","41.3044739, -111.826295"
"North Ogden, Weber, Utah, United States","41.3048815, -111.9650256"
"Fort Bridger, Uinta, Wyoming, United States","41.3167955, -110.3924852"
"Pleasant View, Weber, Utah, United States","41.3199212, -111.988791"
"Lyman, Uinta, Wyoming, United States","41.327367, -110.292835"
"Almy, Uinta, Wyoming, United States","41.3316124, -111.0046287"
"Liberty, Weber, Utah, United States","41.3335516, -111.863551"
"Bridger, Uinta, Wyoming, United States","41.3813375, -110.5946122"
"Etna, Siskiyou, California, United States","41.456807, -122.894755"
"Perry, Box Elder, Utah, United States","41.4649365, -112.032445"
"Mantua, Box Elder, Utah, United States","41.4957692, -111.943832"
"Box Elder, Box Elder, Utah, United States","41.5059844, -112.0268774"
"Brigham City, Box Elder, Utah, United States","41.5110434, -112.0154991"
"Woodruff, Rich, Utah, United States","41.522237, -111.1625757"
"Davenport, Scott, Iowa, United States","41.5235808, -90.5770967"
"Green River, Sweetwater, Wyoming, United States","41.5290933, -109.466473"
"Avon, Cache, Utah, United States","41.53584, -111.8121961"
"Corinne, Box Elder, Utah, United States","41.5498576, -112.110716"
"Paradise, Cache, Utah, United States","41.5688234, -111.837997"
"Hot Springs, Box Elder, Utah, United States","41.5763431, -112.233717"
"Rock Springs, Sweetwater, Wyoming, United States","41.5860557, -109.2194544"
"Mount Sterling, Cache, Utah, United States","41.609655, -111.9371673"
"Harper, Box Elder, Utah, United States","41.610832, -112.0593519"
"Bear River City, Box Elder, Utah, United States","41.6159398, -112.1274738"
"Calls Fort, Box Elder, Utah, United States","41.6207268, -112.0290593"
"Evans, Box Elder, Utah, United States","41.6235416, -112.1768956"
"Hyrum, Cache, Utah, United States","41.63412, -111.8551944"
"Honeyville, Box Elder, Utah, United States","41.638542, -112.079393"
"Wellsville, Cache, Utah, United States","41.6385432, -111.933834"
"Penrose, Box Elder, Utah, United States","41.6507619, -112.3016234"
"Randolph, Rich, Utah, United States","41.6637285, -111.1845862"
"Nibley, Cache, Utah, United States","41.6745591, -111.833119"
"College Ward, Cache, Utah, United States","41.6767638, -111.8796329"
"Millville, Cache, Utah, United States","41.6815987, -111.822998"
"Elwood, Box Elder, Utah, United States","41.6904847, -112.1410625"
"Thatcher, Box Elder, Utah, United States","41.6938166, -112.2941236"
"Providence, Cache, Utah, United States","41.7062699, -111.817638"
"Grouse Creek, Box Elder, Utah, United States","41.7096325, -113.8827244"
"Mendon, Cache, Utah, United States","41.7099297, -111.977725"
"Deweyville, Box Elder, Utah, United States","41.7104845, -112.090228"
"Tremonton, Box Elder, Utah, United States","41.7120775, -112.165779"
"Point Lookout, Box Elder, Utah, United States","41.7154835, -112.2277319"
"Bothwell, Box Elder, Utah, United States","41.7171498, -112.2588442"
"River Heights, Cache, Utah, United States","41.7218845, -111.821417"
"Montague, Siskiyou, California, United States","41.728267, -122.527392"
"Logan, Cache, Utah, United States","41.7313063, -111.834914"
"Garland, Box Elder, Utah, United States","41.7410387, -112.1616194"
"Benson, Cache, Utah, United States","41.751028, -111.9306542"
"Greenville, Cache, Utah, United States","41.765653, -111.817811"
"East Garland, Box Elder, Utah, United States","41.7681018, -112.1194162"
"Petersboro, Cache, Utah, United States","41.769095, -111.9816148"
"North Logan, Cache, Utah, United States","41.7693747, -111.804665"
"Collinston, Box Elder, Utah, United States","41.7746496, -112.0949517"
"Glencoe, Lincoln, Wyoming, United States","41.7750796, -110.5358885"
"Diamondville, Lincoln, Wyoming, United States","41.7793918, -110.538502"
"Mount Hebron, Siskiyou, California, United States","41.7835465, -122.0078208"
"Round Valley, Rich, Utah, United States","41.7853871, -111.3661314"
"Howell, Box Elder, Utah, United States","41.7960354, -112.4444112"
"Hyde Park, Cache, Utah, United States","41.79897, -111.81914"
"Beaver Dam, Box Elder, Utah, United States","41.8040127, -112.0508668"
"Fielding, Box Elder, Utah, United States","41.814397, -112.1162914"
"Riverside, Box Elder, Utah, United States","41.8147711, -112.142936"
"Park Valley, Box Elder, Utah, United States","41.8175377, -113.3285309"
"Rosette, Box Elder, Utah, United States","41.8185307, -113.4130548"
"Laketown, Rich, Utah, United States","41.8254935, -111.3224256"
"Macdoel, Siskiyou, California, United States","41.8268154, -122.0052851"
"Cache Junction, Cache, Utah, United States","41.8354827, -112.0027279"
"Smithfield, Cache, Utah, United States","41.838429, -111.832804"
"Meadowville, Rich, Utah, United States","41.8449062, -111.3981347"
"Amalga, Cache, Utah, United States","41.8502133, -111.8930015"
"Newton, Cache, Utah, United States","41.8627046, -111.990783"
"San Jacinto, Elko, Nevada, United States","41.8685234, -114.6764246"
"Lynn, Box Elder, Utah, United States","41.8726955, -113.744731"
"Plymouth, Box Elder, Utah, United States","41.8754813, -112.1441223"
"Pawtucket, Providence, Rhode Island, United States","41.8789531, -71.3821203"
"Trenton, Cache, Utah, United States","41.9181247, -111.94271"
"Clarkston, Cache, Utah, United States","41.9201354, -112.0500442"
"Richmond, Cache, Utah, United States","41.9227056, -111.813557"
"Kingston, Ulster, New York, United States","41.9287812, -74.0023825"
"Washakie, Box Elder, Utah, United States","41.9440909, -112.2171823"
"Garden City, Rich, Utah, United States","41.946878, -111.393539"
"Yost, Box Elder, Utah, United States","41.9607505, -113.5422268"
"Cove, Cache, Utah, United States","41.9623385, -111.7810293"
"Snowville, Box Elder, Utah, United States","41.9654058, -112.710343"
"Curlew, Box Elder, Utah, United States","41.9654743, -113.0599897"
"Portage, Box Elder, Utah, United States","41.9757346, -112.241944"
"Lewiston, Cache, Utah, United States","41.9757598, -111.856337"
"Cornish, Cache, Utah, United States","41.975985, -111.953347"
"Bear Lake, Bear Lake, Idaho, United States","41.9834206, -111.3401297"
"Naf, Cassia, Idaho, United States","42.0101952, -113.2855525"
"Glencoe, Bear Lake, Idaho, United States","42.011043, -111.4082626"
"Fairview, Franklin, Idaho, United States","42.013259, -111.876616"
"Stone, Oneida, Idaho, United States","42.0163081, -112.6952567"
"Franklin, Franklin, Idaho, United States","42.0168752, -111.8041815"
"Ridgedale, Oneida, Idaho, United States","42.0229763, -112.4799714"
"Woodruff, Oneida, Idaho, United States","42.036034, -112.2146843"
"Fish Haven, Bear Lake, Idaho, United States","42.0368759, -111.3963177"
"Weston, Franklin, Idaho, United States","42.0371465, -111.979397"
"Whitney, Franklin, Idaho, United States","42.0657488, -111.8378172"
"Black Pine, Oneida, Idaho, United States","42.0724177, -112.9802656"
"Hazel, Cassia, Idaho, United States","42.073373, -113.0229684"
"Mapleton, Franklin, Idaho, United States","42.0838147, -111.7488348"
"Cokeville, Lincoln, Wyoming, United States","42.0848242, -110.9566093"
"Cherry Creek, Oneida, Idaho, United States","42.0982553, -112.2288523"
"Almo, Cassia, Idaho, United States","42.1001924, -113.6336192"
"Turnpike, Bear Lake, Idaho, United States","42.109932, -111.2635348"
"Dayton, Franklin, Idaho, United States","42.1129787, -111.993566"
"Saint Charles, Bear Lake, Idaho, United States","42.1138188, -111.3888175"
"St. Charles, Bear Lake, Idaho, United States","42.115055, -111.3903022"
"Samaria, Oneida, Idaho, United States","42.1184177, -112.3356224"
"Glendale, Franklin, Idaho, United States","42.1299255, -111.7049441"
"Gwenford, Oneida, Idaho, United States","42.1363096, -112.3299673"
"Juniper, Oneida, Idaho, United States","42.1531635, -112.9713532"
"Pleasantview, Oneida, Idaho, United States","42.1560315, -112.3377455"
"Riverdale, Franklin, Idaho, United States","42.1613126, -111.8377279"
"Holbrook, Oneida, Idaho, United States","42.1618627, -112.6538676"
"Winder, Franklin, Idaho, United States","42.1762203, -111.915658"
"Clifton, Franklin, Idaho, United States","42.1899219, -112.008012"
"Bloomington, Bear Lake, Idaho, United States","42.1910925, -111.3988935"
"Malad, Oneida, Idaho, United States","42.1915872, -112.250798"
"Saint Johns, Oneida, Idaho, United States","42.2135191, -112.291888"
"Dingle, Bear Lake, Idaho, United States","42.2193736, -111.2679797"
"Alton, Bear Lake, Idaho, United States","42.2274306, -111.151585"
"Mink Creek, Franklin, Idaho, United States","42.228257, -111.7157789"
"Banida, Franklin, Idaho, United States","42.2310329, -111.942455"
"Paris, Bear Lake, Idaho, United States","42.2340495, -111.4032297"
"Oakley, Cassia, Idaho, United States","42.2432972, -113.881767"
"Basin, Cassia, Idaho, United States","42.2457381, -113.7847191"
"Jackson, Jackson, Michigan, United States","42.2465036, -84.4016963"
"Elba, Cassia, Idaho, United States","42.248246, -113.5613967"
"Wardboro, Bear Lake, Idaho, United States","42.2557616, -111.2771469"
"Oxford, Franklin, Idaho, United States","42.258124, -112.0176928"
"Raft River, Cassia, Idaho, United States","42.2593205, -113.3591973"
"Treasureton, Franklin, Idaho, United States","42.2651999, -111.8463407"
"Cedarhill, Oneida, Idaho, United States","42.2668615, -112.7313713"
"Raymond, Bear Lake, Idaho, United States","42.2747556, -111.0587319"
"Lanark, Bear Lake, Idaho, United States","42.2815928, -111.4285421"
"Marion, Cassia, Idaho, United States","42.2867377, -113.9110161"
"Ovid, Bear Lake, Idaho, United States","42.2888154, -111.3982633"
"Malta, Cassia, Idaho, United States","42.3063021, -113.369167"
"Swan Lake, Bannock, Idaho, United States","42.3076984, -111.998846"
"Sublett, Cassia, Idaho, United States","42.3121368, -113.1369379"
"Liberty, Bear Lake, Idaho, United States","42.3171477, -111.4521549"
"Montpelier, Bear Lake, Idaho, United States","42.3221498, -111.2977044"
"Buist, Oneida, Idaho, United States","42.3271391, -112.605534"
"Detroit, Wayne, Michigan, United States","42.3315509, -83.0466403"
"Bern, Bear Lake, Idaho, United States","42.3396485, -111.3860416"
"Cleveland, Franklin, Idaho, United States","42.3399225, -111.7132802"
"Sharon, Bear Lake, Idaho, United States","42.3504805, -111.4791011"
"Boston, Suffolk, Massachusetts, United States","42.3554334, -71.060511"
"Geneva, Bear Lake, Idaho, United States","42.3585413, -111.0651941"
"Bennington, Bear Lake, Idaho, United States","42.3910379, -111.3215956"
"Everett, Middlesex, Massachusetts, United States","42.40843, -71.0536625"
"Thatcher, Franklin, Idaho, United States","42.4088106, -111.726893"
"Albion, Cassia, Idaho, United States","42.4126885, -113.578063"
"Downey, Bannock, Idaho, United States","42.4285297, -112.124407"
"Cambridge, Bannock, Idaho, United States","42.450474, -112.1166294"
"View, Cassia, Idaho, United States","42.4507431, -113.6972343"
"Lago, Caribou, Idaho, United States","42.4513106, -111.6966142"
"Arbon, Power, Idaho, United States","42.4557488, -112.5683118"
"Pella, Cassia, Idaho, United States","42.475188, -113.8386297"
"Georgetown, Bear Lake, Idaho, United States","42.4764425, -111.3703902"
"Nounan, Bear Lake, Idaho, United States","42.4777021, -111.4510473"
"Murtaugh, Twin Falls, Idaho, United States","42.491794, -114.1619483"
"Virginia, Bannock, Idaho, United States","42.4940842, -112.1655203"
"Niter, Caribou, Idaho, United States","42.5035319, -111.7307832"
"Bench, Caribou, Idaho, United States","42.5035325, -111.6802252"
"Springdale, Cassia, Idaho, United States","42.5154649, -113.6908455"
"Marsh Valley, Bannock, Idaho, United States","42.5176952, -112.1557979"
"Declo, Cassia, Idaho, United States","42.5182428, -113.628064"
"Unity, Cassia, Idaho, United States","42.5185203, -113.7433478"
"Marsh Center, Bannock, Idaho, United States","42.5188014, -112.1945852"
"Kimberly, Twin Falls, Idaho, United States","42.5338019, -114.364756"
"Burley, Cassia, Idaho, United States","42.5357428, -113.792794"
"Hawkins, Bannock, Idaho, United States","42.543527, -112.3421937"
"Twin Falls, Twin Falls, Idaho, United States","42.5558542, -114.4700684"
"Heyburn, Minidoka, Idaho, United States","42.5585202, -113.763904"
"Arimo, Bannock, Idaho, United States","42.559917, -112.171354"
"Filer, Twin Falls, Idaho, United States","42.570186, -114.6078214"
"Pauline, Power, Idaho, United States","42.5707478, -112.5602575"
"Rockland, Power, Idaho, United States","42.5732468, -112.877212"
"Grace, Caribou, Idaho, United States","42.5760314, -111.730506"
"Turner, Caribou, Idaho, United States","42.5765864, -111.8188426"
"Robin, Bannock, Idaho, United States","42.5771384, -112.246635"
"Dempsey, Bannock, Idaho, United States","42.5857758, -112.0303519"
"Hazelton, Jerome, Idaho, United States","42.5958678, -114.136699"
"Buhl, Twin Falls, Idaho, United States","42.5990714, -114.7594946"
"Paul, Minidoka, Idaho, United States","42.6079647, -113.78335"
"Rupert, Minidoka, Idaho, United States","42.6190756, -113.677234"
"Lava Hot Springs, Bannock, Idaho, United States","42.6193625, -112.011071"
"Smoot, Lincoln, Wyoming, United States","42.6196048, -110.9176639"
"Topaz, Bannock, Idaho, United States","42.6234031, -112.0882571"
"Lund, Caribou, Idaho, United States","42.6426966, -111.8885674"
"McCammon, Bannock, Idaho, United States","42.6504719, -112.193022"
"Crystal, Power, Idaho, United States","42.653803, -112.4963675"
"Soda Springs, Caribou, Idaho, United States","42.6546059, -111.603809"
"Acequia, Minidoka, Idaho, United States","42.6679642, -113.596953"
"Osmond Community, Lincoln, Wyoming, United States","42.6829842, -110.9321445"
"Fairview, Lincoln, Wyoming, United States","42.6861815, -110.9865827"
"Jerome, Jerome, Idaho, United States","42.7238458, -114.518808"
"Afton, Lincoln, Wyoming, United States","42.7252774, -110.933402"
"Racine, Racine, Wisconsin, United States","42.7313756, -87.7834769"
"Neeley, Power, Idaho, United States","42.7335225, -112.9149944"
"Wendell, Gooding, Idaho, United States","42.7757368, -114.7042168"
"American Falls, Power, Idaho, United States","42.7860227, -112.854437"
"Portneuf, Bannock, Idaho, United States","42.7949145, -112.3635862"
"Grover, Lincoln, Wyoming, United States","42.7956045, -110.9294513"
"Auburn, Lincoln, Wyoming, United States","42.795842, -111.0107737"
"Inkom, Bannock, Idaho, United States","42.7963041, -112.254137"
"Pebble, Bannock, Idaho, United States","42.8119638, -112.3973212"
"Hatch, Caribou, Idaho, United States","42.8193625, -111.8521789"
"Common, Bannock, Idaho, United States","42.8378585, -112.4087193"
"Bannock, Power, Idaho, United States","42.8613016, -112.7227673"
"Pocatello, Bannock, Idaho, United States","42.8620287, -112.450627"
"Chesterfield, Caribou, Idaho, United States","42.8668622, -111.9019032"
"Bedford, Lincoln, Wyoming, United States","42.899148, -110.922502"
"Merrill, Bannock, Idaho, United States","42.9178875, -112.4709697"
"Thayne, Lincoln, Wyoming, United States","42.9208143, -111.002469"
"Gooding, Gooding, Idaho, United States","42.9389067, -114.7131938"
"Aberdeen, Bingham, Idaho, United States","42.9445915, -112.838322"
"Wayan, Caribou, Idaho, United States","42.9782525, -111.376888"
"Freedom, Lincoln, Wyoming, United States","42.9826645, -111.0438995"
"Marley, Lincoln, Idaho, United States","43.0154615, -114.2311487"
"Glen Huon, Tasmania, Australia","-43.02753, 146.96052"
"Etna, Lincoln, Wyoming, United States","43.0340785, -111.016102"
"Sterling, Bingham, Idaho, United States","43.0379685, -112.7316566"
"Gray, Bonneville, Idaho, United States","43.0499186, -111.3791113"
"Richfield, Lincoln, Idaho, United States","43.0530802, -114.1524662"
"Palmyra, Wayne, New York, United States","43.0623754, -77.2347245"
"Milwaukee, Milwaukee, Wisconsin, United States","43.0775181, -87.8812647"
"Springfield, Bingham, Idaho, United States","43.08158, -112.6819324"
"Royalton, Niagara, New York, United States","43.1535554, -78.5467299"
"Rich, Bingham, Idaho, United States","43.1799717, -112.3497506"
"Thomas, Bingham, Idaho, United States","43.182692, -112.5047045"
"Presto, Bingham, Idaho, United States","43.1871972, -112.0464515"
"Blackfoot, Bingham, Idaho, United States","43.190039, -112.348357"
"Riverside, Bingham, Idaho, United States","43.1968591, -112.4352579"
"Groveland, Bingham, Idaho, United States","43.2199151, -112.3724783"
"Moreland, Bingham, Idaho, United States","43.2226924, -112.4424805"
"Wapello, Bingham, Idaho, United States","43.2468603, -112.2569193"
"Rose, Bingham, Idaho, United States","43.2543597, -112.3260882"
"Hamilton, Ontario, Canada","43.2560802, -79.8728583"
"Kimball, Bingham, Idaho, United States","43.2735269, -112.2194185"
"Firth, Bingham, Idaho, United States","43.305193, -112.183029"
"Picabo, Blaine, Idaho, United States","43.3057385, -114.0678124"
"Carey, Blaine, Idaho, United States","43.307683, -113.944752"
"Goshen, Bingham, Idaho, United States","43.3096385, -112.083304"
"Basalt, Bingham, Idaho, United States","43.315471, -112.164417"
"Fairfield, Camas, Idaho, United States","43.347039, -114.793247"
"Palisades, Bonneville, Idaho, United States","43.3520054, -111.2178711"
"Gannett, Blaine, Idaho, United States","43.3599057, -114.175873"
"Soldier, Camas, Idaho, United States","43.3701786, -114.7917283"
"Melba, Canyon, Idaho, United States","43.3732565, -116.5304946"
"Jameston, Bingham, Idaho, United States","43.3735265, -112.0585817"
"Shelley, Bingham, Idaho, United States","43.37998, -112.126914"
"Irwin, Bonneville, Idaho, United States","43.4073816, -111.2961481"
"Woodville, Bingham, Idaho, United States","43.4168586, -112.1427507"
"Bellevue, Blaine, Idaho, United States","43.463518, -114.2606"
"Ammon, Bonneville, Idaho, United States","43.4768028, -111.9641319"
"Jackson, Teton, Wyoming, United States","43.479965, -110.761815"
"Idaho Falls, Bonneville, Idaho, United States","43.4887907, -112.03628"
"Kuna, Ada, Idaho, United States","43.4918307, -116.420122"
"Lincoln, Bonneville, Idaho, United States","43.5137688, -111.9629858"
"Hailey, Blaine, Idaho, United States","43.519629, -114.315325"
"Iona, Bonneville, Idaho, United States","43.526303, -111.933024"
"Cheney, Teton, Wyoming, United States","43.531224, -110.8371911"
"Antelope, Bonneville, Idaho, United States","43.5475129, -111.4604554"
"Osgood, Bonneville, Idaho, United States","43.5682809, -112.1028938"
"Nampa, Canyon, Idaho, United States","43.5737361, -116.559631"
"Ucon, Bonneville, Idaho, United States","43.591956, -111.963826"
"Victor, Teton, Idaho, United States","43.6025939, -111.111309"
"Meridian, Ada, Idaho, United States","43.6086295, -116.392326"
"Milo, Bonneville, Idaho, United States","43.6107461, -111.8838559"
"Boise, Ada, Idaho, United States","43.6166163, -116.200886"
"Coltman, Bonneville, Idaho, United States","43.6176899, -112.0121929"
"Poplar, Bonneville, Idaho, United States","43.619669, -111.685796"
"Cedron, Teton, Idaho, United States","43.6221394, -111.1910563"
"Ririe, Jefferson, Idaho, United States","43.63131, -111.773593"
"Garfield, Jefferson, Idaho, United States","43.6351899, -111.9638583"
